Piazzata,Chiuse,Dettagli,Tipo,Quota,Puntata (€),Responsabilità (€),Profitto/Perdita,Stato
12-feb-26 18:33:32,12-feb-26 20:14:26,"Al-Hazm (KSA) - Al-Akhdoud Under 2,5 goal-Over/Under 2,5 gol | ID scommessa Betfair 1:418252503757 | ID Scommessa AdM bc00000000409a590c09",Punta,1.96,"5,00", -- ," -5,00 ",Persa
12-feb-26 18:03:45,12-feb-26 20:00:55,Juventus Next Gen - Sambenedettese Casa o pareggio-Doppia Chance | ID scommessa Betfair 1:418249808647 | ID Scommessa AdM bc0000000023fc04ef0a,Punta,1.35,"3,50", -- ," 1,23 ",Vinta
12-feb-26 18:05:50,12-feb-26 19:55:50,FC Guidonia Montecelio 1937 - AC Bra Pareggio o ospite-Doppia Chance | ID scommessa Betfair 1:418250002977 | ID Scommessa AdM bc000000004099131809,Punta,1.92,"3,50", -- ," 3,22 ",Vinta
12-feb-26 18:09:45,12-feb-26 19:49:30,"Forli - Pontedera Over 1,5 goal-Over/Under 1,5 gol | ID scommessa Betfair 1:418250319751 | ID Scommessa AdM bc00000000409942ac09",Punta,1.45,"5,00", -- ," 2,25 ",Vinta
12-feb-26 19:34:02,12-feb-26 19:49:16,"Universitatea Craiova - FCSB Over 1,5 goal-Over/Under 1,5 gol | ID scommessa Betfair 1:418257825345 | ID Scommessa AdM bc00000000409d046309",Punta,1.43,"2,50", -- ," 1,08 ",Vinta
12-feb-26 17:55:50,12-feb-26 19:00:50,Al Ahli (BRN) - Aali Club Al Ahli (BRN)-Esito Finale | ID scommessa Betfair 1:418249169125 | ID Scommessa AdM bc0000000023fbb8cc0a,Punta,1.41,"5,00", -- ," -5,00 ",Persa
12-feb-26 17:57:45,12-feb-26 18:59:48,"Lokomotiv Plovdiv - Botev Plovdiv Over 1,5 goal-Over/Under 1,5 gol | ID scommessa Betfair 1:418249308668 | ID Scommessa AdM bc0000000023fbc4a10a",Punta,1.31,"7,00", -- ," -7,00 ",Persa
12-feb-26 17:15:52,12-feb-26 18:52:15,Dinamo Bucaresti - Hermannstadt Dinamo Bucaresti-Esito Finale | ID scommessa Betfair 1:418245892673 | ID Scommessa AdM bc0000000062caf2e808,Punta,1.61,"5,00", -- ," 3,05 ",Vinta
12-feb-26 18:21:45,12-feb-26 18:50:49,CS FC Dinamo Bucuresti - Farul Costanza No-Entrambe le squadre a segno | ID scommessa Betfair 1:418251389586 | ID Scommessa AdM bc0000000062cd8eb608,Punta,1.99,"5,00", -- ," 4,95 ",Vinta
12-feb-26 16:05:29,12-feb-26 18:40:06,Dhamk - Al-Taawoun Buraidah Al-Taawoun Buraidah-Esito Finale | ID scommessa Betfair 1:418240647602 | ID Scommessa AdM bc0000000023f81a600a,Punta,1.96,"5,00", -- ," -5,00 ",Persa
12-feb-26 02:05:16,12-feb-26 03:55:35,Real Esteli FC - Diriangen FC Real Esteli FC-Esito Finale | ID scommessa Betfair 1:418197348788 | ID Scommessa AdM bc00000000408488d609,Punta,2.30,"5,00", -- ," -5,00 ",Persa
12-feb-26 02:09:03,12-feb-26 03:55:33,"CF America - CD Olimpia Over 2,5 goal-Over/Under 2,5 gol | ID scommessa Betfair 1:418197682807 | ID Scommessa AdM bc0000000062b86cd008",Punta,1.63,"4,00", -- ," -4,00 ",Persa
12-feb-26 01:39:20,12-feb-26 03:40:25,"Vasco Da Gama - Bahia Over 2,5 goal-Over/Under 2,5 gol | ID scommessa Betfair 1:418195061691 | ID Scommessa AdM bc0000000023e6ab300a",Punta,2.07,"5,00", -- ," -5,00 ",Persa
12-feb-26 01:38:55,12-feb-26 02:57:31,"San Paolo - Grêmio Over 1,5 goal-Over/Under 1,5 gol | ID scommessa Betfair 1:418195027684 | ID Scommessa AdM bc0000000023e6a6d00a",Punta,1.42,"8,00", -- ," 3,36 ",Vinta
11-feb-26 23:50:22,12-feb-26 02:43:16,Colo Colo - Unión Española Sì-Entrambe le squadre a segno | ID scommessa Betfair 1:418188158808 | ID Scommessa AdM bc000000004080420209,Punta,1.61,"5,00", -- ," -5,00 ",Persa
12-feb-26 00:36:23,12-feb-26 02:29:20,"Millonarios - Aguilas Doradas Over 1,5 goal-Over/Under 1,5 gol | ID scommessa Betfair 1:418191183159 | ID Scommessa AdM bc000000004081c94409",Punta,1.44,"5,00", -- ," -5,00 ",Persa
12-feb-26 01:17:23,12-feb-26 02:21:41,"Central Cordoba (SdE) - Gimnasia Jujuy Under 2,5 goal-Over/Under 2,5 gol | ID scommessa Betfair 1:418193596776 | ID Scommessa AdM bc0000000023e601b60a",Punta,1.44,"10,00", -- ," -10,00 ",Persa
12-feb-26 01:03:23,12-feb-26 02:11:24,CD Universitario - San Francisco FC CD Universitario-Esito Finale | ID scommessa Betfair 1:418192853889 | ID Scommessa AdM bc0000000062b6654c08,Punta,1.46,"7,00", -- ," -7,00 ",Persa
12-feb-26 01:11:20,12-feb-26 02:10:31,"Atletico Choloma - Olancho Over 2,5 goal-Over/Under 2,5 gol | ID scommessa Betfair 1:418193245374 | ID Scommessa AdM bc0000000023e5db990a",Punta,4.20,"5,00", -- ," -5,00 ",Persa
12-feb-26 00:02:41,12-feb-26 02:06:01,Atletico MG - Remo Atletico MG-Esito Finale | ID scommessa Betfair 1:418188821629 | ID Scommessa AdM bc000000004080993609,Punta,1.48,"7,00", -- ," -7,00 ",Persa
12-feb-26 02:00:51,12-feb-26 02:06:01,Atletico MG - Remo Atletico MG-Esito Finale | ID scommessa Betfair 1:418196953923 | ID Scommessa AdM bc00000000408465fe09,Punta,6.80,"7,00", -- ," -7,00 ",Persa
12-feb-26 02:02:05,12-feb-26 02:06:01,Atletico MG - Remo Atletico MG-Esito Finale | ID scommessa Betfair 1:418197063273 | ID Scommessa AdM bc0000000062b8347808,Punta,6.80,"7,00", -- ," -7,00 ",Persa
12-feb-26 02:02:18,12-feb-26 02:06:01,Atletico MG - Remo Atletico MG-Esito Finale | ID scommessa Betfair 1:418197082568 | ID Scommessa AdM bc0000000023e77b9e0a,Punta,6.80,"7,00", -- ," -7,00 ",Persa
12-feb-26 02:02:34,12-feb-26 02:06:01,Atletico MG - Remo Atletico MG-Esito Finale | ID scommessa Betfair 1:418197103455 | ID Scommessa AdM bc0000000062b837f208,Punta,6.80,"7,00", -- ," -7,00 ",Persa
12-feb-26 02:02:41,12-feb-26 02:06:01,Atletico MG - Remo Atletico MG-Esito Finale | ID scommessa Betfair 1:418197114173 | ID Scommessa AdM bc0000000062b838a608,Punta,6.80,"7,00", -- ," -7,00 ",Persa
12-feb-26 02:02:50,12-feb-26 02:06:01,Atletico MG - Remo Atletico MG-Esito Finale | ID scommessa Betfair 1:418197124195 | ID Scommessa AdM bc0000000023e77fac0a,Punta,6.80,"7,00", -- ," -7,00 ",Persa
12-feb-26 00:03:02,12-feb-26 01:54:17,XV De Piracicaba - Sao Jose EC SP Casa / Pareggio-Parziale/finale | ID scommessa Betfair 1:418188839361 | ID Scommessa AdM bc0000000062b45dec08,Punta,1.35,"10,00", -- ," -10,00 ",Persa
12-feb-26 00:02:53,12-feb-26 01:52:50,"Oeste FC - Santo Andre Over 2,5 goal-Over/Under 2,5 gol | ID scommessa Betfair 1:418188831772 | ID Scommessa AdM bc0000000040809ab109",Punta,2.82,"5,00", -- ," 9,10 ",Vinta
12-feb-26 01:22:10,12-feb-26 01:33:44,"Gremio Prudente - Monte Azul SP Over 0,5 goal-Over/Under 0,5 gol | ID scommessa Betfair 1:418193896758 | ID Scommessa AdM bc0000000062b6dd9b08",Punta,2.90,"7,00", -- ," -7,00 ",Persa
11-feb-26 23:36:52,12-feb-26 01:16:15,"Votuporanguense - Taubate Under 2,5 goal-Over/Under 2,5 gol | ID scommessa Betfair 1:418187138549 | ID Scommessa AdM bc0000000062b383ed08",Punta,1.48,"3,00", -- ," -3,00 ",Persa
12-feb-26 00:20:49,12-feb-26 01:07:17,"Mirassol - Cruzeiro Under 4,5 goal-Over/Under 4,5 gol | ID scommessa Betfair 1:418190098410 | ID Scommessa AdM bc0000000023e44edb0a",Punta,1.41,"10,00", -- ," 4,10 ",Vinta
11-feb-26 23:17:17,12-feb-26 00:59:56,Ituano - Inter Limeira Casa o pareggio-Doppia Chance | ID scommessa Betfair 1:418185805030 | ID Scommessa AdM bc0000000062b2cd9308,Punta,1.25,"7,00", -- ," 1,75 ",Vinta
11-feb-26 23:09:16,12-feb-26 00:58:36,"Agua Santa - Ferroviaria Over 1,5 goal-Over/Under 1,5 gol | ID scommessa Betfair 1:418185236257 | ID Scommessa AdM bc0000000023e1c6e90a",Punta,1.60,"6,00", -- ," -6,00 ",Persa
11-feb-26 23:02:50,12-feb-26 00:53:26,Rosario Central - Sportivo Belgrano No-Entrambe le squadre a segno | ID scommessa Betfair 1:418184773643 | ID Scommessa AdM bc0000000023e182a90a,Punta,1.28,"6,00", -- ," 1,68 ",Vinta
11-feb-26 23:01:59,12-feb-26 00:20:59,"Chapecoense - Coritiba Under 2,5 goal-Over/Under 2,5 gol | ID scommessa Betfair 1:418184712913 | ID Scommessa AdM bc0000000023e17af60a",Punta,1.76,"6,00", -- ," -6,00 ",Persa
12-feb-26 00:10:48,12-feb-26 00:19:28,"Mirassol - Cruzeiro Over 2,5 goal-Over/Under 2,5 gol | ID scommessa Betfair 1:418189359073 | ID Scommessa AdM bc0000000023e3ee050a",Punta,1.33,"10,00", -- ," 3,30 ",Vinta
11-feb-26 23:08:48,11-feb-26 23:58:03,Tauro FC - UMECIT Casa o pareggio-Doppia Chance | ID scommessa Betfair 1:418185208363 | ID Scommessa AdM bc0000000023e1c3420a,Punta,1.27,"6,00", -- ," 1,62 ",Vinta
